label,difficulty
normal,20
normal,15
neptune,19
normal,21
normal,21
neptune,21
neptune,21
neptune,21
neptune,21
neptune,21
neptune,21
neptune,21
normal,21
warezclient,15
neptune,19
neptune,18
normal,21
ipsweep,18
normal,21
normal,21
neptune,18
neptune,18
normal,21
normal,21
neptune,19
normal,20
neptune,21
normal,21
normal,21
normal,21
ipsweep,17
neptune,20
normal,21
portsweep,20
normal,18
normal,19
normal,18
neptune,19
normal,21
neptune,20
neptune,19
neptune,18
normal,21
normal,21
normal,21
neptune,18
teardrop,16
normal,21
warezclient,12
neptune,18
normal,21
neptune,21
teardrop,15
normal,21
normal,18
normal,21
nmap,17
neptune,20
neptune,18
normal,18
normal,21
neptune,21
satan,18
normal,21
neptune,21
normal,21
portsweep,14
neptune,19
neptune,20
neptune,19
normal,21
neptune,18
normal,21
normal,21
neptune,21
normal,20
neptune,19
normal,21
normal,21
neptune,21
normal,21
neptune,19
neptune,18
ipsweep,15
normal,21
neptune,18
normal,21
neptune,19
neptune,21
normal,21
normal,21
normal,21
normal,18
neptune,21
neptune,18
normal,21
normal,21
normal,21
normal,21
neptune,21
normal,20
normal,21
normal,21
normal,21
teardrop,16
normal,21
normal,21
normal,21
normal,21
normal,21
normal,21
normal,20
normal,21
normal,21
normal,21
portsweep,15
neptune,18
normal,18
normal,21
normal,21
neptune,19
neptune,19
neptune,20
normal,21
neptune,18
normal,21
normal,18
normal,21
normal,19
normal,21
neptune,21
neptune,19
normal,20
normal,21
neptune,21
neptune,18
normal,21
normal,21
smurf,20
neptune,21
normal,21
neptune,18
neptune,20
normal,21
normal,21
normal,21
nmap,18
normal,21
warezclient,11
neptune,19
neptune,21
normal,21
neptune,20
neptune,18
neptune,20
normal,18
normal,20
neptune,19
ipsweep,17
neptune,19
normal,21
normal,20
normal,18
normal,17
neptune,21
portsweep,15
normal,21
normal,21
normal,21
normal,21
neptune,18
normal,21
smurf,18
neptune,19
neptune,21
neptune,18
normal,21
satan,18
satan,20
neptune,19
normal,16
normal,21
normal,18
normal,21
teardrop,15
neptune,18
neptune,21
neptune,21
normal,21
normal,21
warezclient,2
normal,21
neptune,21
neptune,19
normal,21
normal,21
normal,21
normal,21
portsweep,18
normal,21
normal,21
neptune,21
normal,21
normal,21
normal,21
normal,21
neptune,18
normal,21
normal,21
neptune,20
satan,18
pod,14
neptune,20
normal,21
neptune,18
neptune,20
normal,21
normal,21
normal,21
normal,21
normal,21
neptune,21
warezclient,12
neptune,20
ipsweep,15
normal,21
normal,21
neptune,18
normal,18
normal,20
normal,21
normal,21
normal,18
teardrop,15
normal,18
neptune,20
neptune,20
neptune,21
normal,21
normal,21
normal,18
ipsweep,15
neptune,18
neptune,18
neptune,20
normal,21
neptune,21
ipsweep,17
neptune,21
normal,21
ipsweep,18
normal,19
normal,21
portsweep,15
nmap,19
smurf,17
normal,21
normal,21
portsweep,18
normal,21
neptune,18
normal,21
normal,21
neptune,20
normal,21
normal,21
normal,21
normal,21
ipsweep,15
neptune,20
normal,21
neptune,19
normal,21
normal,18
normal,21
normal,21
neptune,20
neptune,21
normal,11
normal,21
normal,21
neptune,18
normal,20
normal,21
neptune,18
normal,21
neptune,18
neptune,18
normal,21
portsweep,15
normal,13
neptune,18
neptune,19
normal,21
normal,21
normal,21
normal,21
nmap,15
normal,21
neptune,19
normal,20
neptune,19
neptune,18
warezclient,12
normal,21
ipsweep,18
normal,17
normal,21
portsweep,14
normal,21
neptune,21
normal,21
neptune,18
neptune,20
normal,21
smurf,19
ipsweep,15
satan,20
normal,21
neptune,21
normal,21
neptune,19
neptune,19
neptune,18
normal,19
neptune,21
normal,21
normal,21
normal,21
normal,21
portsweep,18
portsweep,18
normal,18
normal,21
neptune,21
normal,21
normal,21
normal,21
neptune,18
neptune,21
normal,21
neptune,21
normal,21
normal,21
neptune,20
normal,18
neptune,21
normal,21
neptune,20
ipsweep,16
portsweep,18
normal,21
neptune,18
normal,21
satan,18
normal,21
neptune,18
normal,21
neptune,18
normal,20
normal,18
normal,21
neptune,21
normal,21
normal,21
ipsweep,18
back,13
normal,21
neptune,18
neptune,21
normal,21
normal,21
normal,21
neptune,20
normal,21
neptune,18
normal,20
normal,21
normal,21
neptune,21
normal,18
neptune,18
normal,21
neptune,21
neptune,21
normal,21
neptune,20
normal,18
normal,21
normal,20
normal,21
normal,20
neptune,20
neptune,18
neptune,21
neptune,21
portsweep,15
neptune,21
ipsweep,15
normal,20
normal,21
neptune,20
normal,20
normal,19
ipsweep,16
normal,20
normal,21
normal,21
neptune,21
neptune,18
normal,21
neptune,20
normal,21
normal,21
neptune,18
normal,18
normal,20
neptune,20
neptune,21
neptune,21
normal,21
neptune,20
neptune,21
satan,17
teardrop,15
normal,21
smurf,20
normal,21
normal,19
ipsweep,17
normal,21
smurf,18
neptune,18
normal,21
normal,20
normal,21
normal,21
normal,21
normal,21
normal,21
neptune,20
normal,21
neptune,18
neptune,18
normal,21
normal,21
smurf,18
teardrop,15
neptune,21
normal,21
normal,18
normal,21
neptune,21
neptune,21
neptune,20
normal,21
neptune,21
normal,21
neptune,20
neptune,21
normal,21
normal,21
neptune,19
normal,21
normal,21
neptune,21
back,11
neptune,18
normal,18
normal,21
neptune,21
normal,21
neptune,21
normal,21
neptune,18
normal,21
normal,21
neptune,20
ipsweep,15
normal,21
neptune,21
neptune,20
neptune,19
normal,21
portsweep,18
normal,21
normal,21
satan,17
neptune,19
normal,21
neptune,21
normal,21
normal,21
normal,18
normal,21
neptune,20
normal,21
normal,20
normal,21
normal,21
normal,21
normal,20
neptune,20
normal,21
normal,21
normal,21
warezclient,15
ipsweep,17
normal,18
portsweep,18
normal,21
normal,21
normal,21
normal,21
normal,21
normal,19
neptune,21
neptune,20
normal,21
normal,21
neptune,19
normal,21
neptune,19
normal,21
normal,18
normal,20
neptune,20
normal,21
portsweep,18
neptune,20
satan,17
neptune,18
neptune,20
normal,21
neptune,20
normal,17
neptune,19
normal,21
neptune,12
normal,21
neptune,20
neptune,21
normal,18
normal,21
normal,21
normal,21
normal,21
neptune,20
normal,18
neptune,19
warezclient,14
ipsweep,16
normal,21
neptune,18
normal,21
normal,17
ipsweep,17
neptune,18
neptune,21
neptune,20
normal,20
neptune,21
normal,21
normal,21
neptune,21
neptune,21
normal,21
smurf,18
neptune,20
normal,21
ipsweep,15
neptune,20
neptune,19
neptune,18
normal,21
normal,20
normal,18
neptune,21
normal,21
normal,21
normal,21
warezclient,12
neptune,18
normal,18
normal,18
normal,20
ipsweep,18
normal,21
normal,21
neptune,19
normal,21
portsweep,15
neptune,18
normal,21
normal,21
neptune,19
normal,21
neptune,21
normal,18
neptune,21
neptune,19
normal,20
neptune,21
ipsweep,18
normal,21
portsweep,15
neptune,18
back,12
normal,21
neptune,20
normal,21
neptune,19
normal,21
normal,21
normal,21
neptune,20
ipsweep,15
normal,21
normal,21
back,11
normal,21
portsweep,16
portsweep,20
normal,21
neptune,21
neptune,19
neptune,20
neptune,21
normal,21
neptune,18
normal,21
portsweep,16
normal,21
normal,21
neptune,19
normal,21
normal,21
normal,21
neptune,19
normal,21
neptune,19
normal,21
normal,21
portsweep,15
normal,21
neptune,20
neptune,19
neptune,20
neptune,18
normal,21
portsweep,20
normal,21
ipsweep,18
normal,20
normal,21
normal,21
normal,21
normal,21
normal,21
neptune,18
normal,21
satan,20
satan,19
normal,21
normal,21
neptune,21
teardrop,17
neptune,18
normal,19
normal,18
normal,21
neptune,21
normal,21
neptune,20
back,10
normal,21
normal,20
normal,21
neptune,18
neptune,20
normal,21
normal,20
normal,21
normal,21
normal,21
normal,18
normal,19
neptune,20
neptune,20
guess_passwd,13
normal,21
normal,21
normal,19
neptune,18
normal,18
portsweep,20
neptune,18
normal,20
normal,21
normal,21
normal,21
normal,18
normal,21
neptune,21
normal,21
teardrop,18
neptune,21
normal,13
neptune,21
satan,20
neptune,18
normal,21
neptune,21
neptune,21
normal,21
neptune,18
normal,21
warezclient,13
neptune,20
normal,18
normal,21
normal,20
normal,18
normal,21
neptune,19
neptune,20
normal,21
normal,20
normal,20
normal,21
normal,21
normal,21
neptune,20
neptune,21
normal,21
normal,21
normal,21
neptune,18
neptune,19
normal,20
smurf,20
neptune,21
neptune,20
normal,21
neptune,20
normal,21
normal,21
normal,21
smurf,19
normal,21
neptune,19
neptune,19
normal,21
neptune,19
neptune,19
back,11
portsweep,15
neptune,20
teardrop,15
ipsweep,15
neptune,17
neptune,20
normal,21
neptune,18
normal,21
neptune,20
neptune,20
normal,21
warezclient,12
neptune,18
neptune,20
neptune,20
normal,21
normal,21
normal,21
neptune,21
portsweep,15
warezclient,11
portsweep,18
normal,20
neptune,20
ipsweep,16
normal,21
normal,21
normal,21
portsweep,15
normal,18
smurf,17
neptune,19
normal,21
neptune,18
normal,21
neptune,20
neptune,18
neptune,20
neptune,18
neptune,18
normal,21
neptune,20
normal,20
normal,21
normal,18
normal,18
normal,20
normal,21
normal,19
neptune,21
portsweep,18
neptune,20
normal,21
neptune,21
normal,21
neptune,19
normal,21
normal,21
neptune,18
normal,18
normal,17
normal,21
neptune,19
normal,21
normal,21
normal,21
portsweep,18
neptune,19
normal,21
neptune,21
normal,21
normal,21
ipsweep,17
normal,21
normal,21
satan,20
normal,21
neptune,21
normal,21
neptune,19
normal,21
neptune,18
normal,20
normal,20
normal,17
portsweep,14
normal,21
neptune,19
normal,21
neptune,18
neptune,21
normal,21
neptune,18
normal,20
satan,11
neptune,18
neptune,19
normal,21
neptune,20
neptune,18
normal,21
smurf,18
teardrop,15
neptune,19
normal,21
normal,20
neptune,19
neptune,20
normal,21
normal,21
normal,20
normal,21
normal,21
neptune,20
neptune,18
normal,21
neptune,18
ipsweep,15
neptune,20
neptune,20
neptune,21
neptune,18
normal,21
normal,21
neptune,18
neptune,19
neptune,18
satan,14
normal,21
normal,21
portsweep,16
normal,21
normal,21
normal,21
nmap,15
normal,21
neptune,20
neptune,21
normal,21
smurf,19
nmap,17
portsweep,18
neptune,19
satan,20
normal,21
portsweep,21
normal,21
normal,21
neptune,20
normal,21
neptune,21
normal,21
portsweep,20
smurf,19
neptune,19
neptune,19
neptune,18
nmap,18
neptune,18
neptune,18
neptune,18
normal,20
neptune,18
ipsweep,15
normal,21
normal,21
neptune,18
normal,21
neptune,21
normal,21
neptune,21
neptune,20
neptune,21
neptune,20
neptune,21
normal,21
normal,18
neptune,18
normal,21
normal,21
normal,21
normal,21
normal,21
neptune,19
neptune,18
normal,18
normal,21
normal,21
normal,21
neptune,18
neptune,20
neptune,20
neptune,19
normal,21
neptune,18
normal,18
normal,21
normal,18
normal,21
smurf,18
normal,12
neptune,20
neptune,18
normal,21
normal,18
normal,21
satan,21
normal,21
neptune,21
neptune,20
neptune,21
normal,21
normal,18
normal,20
normal,21
normal,18
smurf,18
normal,21
smurf,18
normal,21
normal,9
normal,21
normal,21
normal,19
normal,21
normal,21
normal,21
neptune,21
normal,21
neptune,20
normal,21
ipsweep,16
neptune,21
normal,21
neptune,19
portsweep,15
neptune,20
neptune,20
normal,18
normal,21
neptune,21
neptune,21
normal,21
neptune,21
normal,17
normal,21
neptune,18
neptune,18
normal,21
normal,19
neptune,21
normal,21
neptune,21
neptune,19
normal,21
neptune,18
neptune,18
normal,18
neptune,21
portsweep,14
